ORF,GSM245276,GSM245277,GSM245278,GSM245279,GSM245280,,Control Trial,Avg. of Experimental Trials,Control^2,Exptal^2,Log2FC
2L52.1,0.178,1.243,-0.534,-0.136,0.524,,0.178,0.27425,0.031684,0.075213063,1.247228759
6R55.1a,-0.297,-0.537,-0.114,-0.585,0.198,,-0.297,-0.2595,0.088209,0.06734025,-0.389456785
6R55.1b,-0.794,-0.51,-0.59,-0.365,-0.762,,-0.794,-0.55675,0.630436,0.309970563,-1.024218709
6R55.2,0.183,0.165,0.498,-0.272,0.425,,0.183,0.204,0.033489,0.041616,0.313451007
AC3.1,0.498,0.747,0.419,0.428,-0.692,,0.498,0.2255,0.248004,0.05085025,-2.286036618
AC3.2,0.761,,0.748,1.424,1.52,,0.761,1.230666667,0.579121,1.514540444,1.386943387
AC3.3,-0.215,-0.135,0.236,0.098,-0.24,,-0.215,-0.01025,0.046225,0.000105063,-8.78128169
AC3.4,0.111,0.531,-0.203,0.624,-0.559,,0.111,0.09825,0.012321,0.009653062,-0.352060728
AC3.5,-0.443,-0.378,-0.868,-0.158,0.27,,-0.443,-0.2835,0.196249,0.08037225,-1.287915927
AC3.6,0.812,0.555,0.491,-1.2,1.032,,0.812,0.2195,0.659344,0.04818025,-3.774517575
AC3.7,-3.921,-2.22,-1.044,-2.613,-2.18,,-3.921,-2.01425,15.374241,4.057203063,-1.921957773
AC3.8,-1.47,-1.171,5.638,0.113,-0.868,,-1.47,0.928,2.1609,0.861184,-1.327238889
AC7.1,0.303,1.718,0.429,0.569,1.067,,0.303,0.94575,0.091809,0.894443063,3.284282155
AC7.2a,0.202,0.209,-0.027,0.101,0.43,,0.202,0.17825,0.040804,0.031773063,-0.360906433
AC7.2b,0.185,0.799,0.094,-0.176,-2.533,,0.185,-0.454,0.034225,0.206116,2.590334054
AC7.3,0.413,-0.78,0.029,-1.008,0.373,,0.413,-0.3465,0.170569,0.12006225,-0.506572859
AC8.1,0.562,1.092,-0.342,-0.99,-0.311,,0.562,-0.13775,0.315844,0.018975063,-4.057035623
AC8.2,0.915,-7.38,-0.406,0.992,0.745,,0.915,-1.51225,0.837225,2.286900063,1.449706024
AC8.3,-0.315,0.036,0.429,0.435,0.527,,-0.315,0.35675,0.099225,0.127270563,0.359123202
AC8.4,0.279,0.026,-0.779,1.909,0.071,,0.279,0.30675,0.077841,0.094095563,0.273596444
AC8.5,1.447,0.749,0.652,0.343,0.558,,1.447,0.5755,2.093809,0.33120025,-2.660354177
AC8.6,-0.694,-0.185,-0.577,0.379,-0.576,,-0.694,-0.23975,0.481636,0.057480063,-3.066809695
AC8.7,-0.199,-0.749,-0.211,-0.169,0.524,,-0.199,-0.15125,0.039601,0.022876563,-0.791666577
AH10.1,0.41,0.565,-0.055,0.506,-1.298,,0.41,-0.0705,0.1681,0.00497025,-5.079857494
AH10.3,-0.456,-0.621,-0.027,-1.101,0.104,,-0.456,-0.41125,0.207936,0.169126563,-0.298036291
AH6.10,-0.192,0.444,1.124,12.762,1.626,,-0.192,3.989,0.036864,15.912121,8.753697815
AH6.11,0.562,1.219,-0.009,0.362,1.433,,0.562,0.75125,0.315844,0.564376563,0.837445911
AH6.12,1.149,1.382,0.693,0.081,0.038,,1.149,0.5485,1.320201,0.30085225,-2.133630544
AH6.13,0.011,-0.198,1.177,0.089,-0.184,,0.011,0.221,0.000121,0.048841,8.656941882
AH6.14,0.956,1.252,0.53,-0.17,0.281,,0.956,0.47325,0.913936,0.223965563,-2.028816225
AH6.2,0.863,-0.081,-0.201,0.181,0.718,,0.863,0.15425,0.744769,0.023793063,-4.96818014
AH6.3,0.325,-0.328,0.019,0.141,0.442,,0.325,0.0685,0.105625,0.00469225,-4.49252765
AH6.4,0.832,0.456,0.274,0.338,-1.065,,0.832,0.00075,0.692224,5.625E-07,-20.23095443
AH6.5,1.617,0.097,0.193,-0.018,-0.555,,1.617,-0.07075,2.614689,0.005005563,-9.028891441
AH6.6,-0.499,0.663,-0.168,0.39,-0.193,,-0.499,0.173,0.249001,0.029929,-3.056535555
AH6.7,1.92,-1.431,1.474,-0.425,1.793,,1.92,0.35275,3.6864,0.124432563,-4.888776646
AH6.8,2.275,2.322,0.735,-1.109,1.614,,2.275,0.8905,5.175625,0.79299025,-2.706358058
AH6.9,0.981,0.765,0.272,-0.895,0.84,,0.981,0.2455,0.962361,0.06027025,-3.997060224
AH9.1,0.199,0.625,-0.127,0.081,-0.036,,0.199,0.13575,0.039601,0.018428063,-1.103632465
AH9.2,0.8,0.464,0.68,0.31,-0.201,,0.8,0.31325,0.64,0.098125563,-2.705370981
AH9.3,0.046,-0.148,0.103,0.676,-0.242,,0.046,0.09725,0.002116,0.009457563,2.160128778
AH9.4,0.404,1.008,0.55,0.021,0.843,,0.404,0.6055,0.163216,0.36663025,1.167543334
B0001.1,1.143,0.539,0.904,0.253,0.75,,1.143,0.6115,1.306449,0.37393225,-1.804801999
B0001.2,-3.502,-0.257,-0.653,0.648,-0.024,,-3.502,-0.0715,12.264004,0.00511225,-11.22818406
B0001.3,-0.779,-0.29,-0.523,0.993,0.799,,-0.779,0.24475,0.606841,0.059902563,-3.340628937
B0001.4,0.178,0.223,0.213,0.228,-0.412,,0.178,0.063,0.031684,0.003969,-2.996907015
B0001.5,-0.018,0.148,0.302,0.466,0.511,,-0.018,0.35675,0.000324,0.127270563,8.617689236
B0001.6,0.309,0.558,0.166,0.12,-0.002,,0.309,0.2105,0.095481,0.04431025,-1.10757321
B0001.7,-0.12,-0.259,-0.214,0.206,-0.273,,-0.12,-0.135,0.0144,0.018225,0.339850003
B0001.8,-0.474,0.062,-0.164,0.445,-1.044,,-0.474,-0.17525,0.224676,0.030712563,-2.87094523
B0019.1,-0.408,-0.097,-0.133,0.47,-0.063,,-0.408,0.04425,0.166464,0.001958063,-6.409639584
B0019.2,1.492,0.516,-0.393,1.112,1.83,,1.492,0.76625,2.226064,0.587139063,-1.922720923
B0024.1,0.31,0.665,-0.533,-0.539,-0.311,,0.31,-0.1795,0.0961,0.03222025,-1.576568743
B0024.10,-0.361,0.023,-0.027,0.602,0.344,,-0.361,0.2355,0.130321,0.05546025,-1.232543555
B0024.11,-0.441,-0.327,-0.295,1.126,-0.169,,-0.441,0.08375,0.194481,0.007014062,-4.79323512
B0024.12,-3.012,0.566,0.449,0.909,-1.683,,-3.012,0.06025,9.072144,0.003630063,-11.28723344
B0024.13,0.298,0.279,0.065,-0.192,-0.301,,0.298,-0.03725,0.088804,0.001387563,-6
B0024.14a,-0.202,0.026,0.611,12.853,-0.089,,-0.202,3.35025,0.040804,11.22417506,8.103683115
B0024.14b,-0.751,0.839,0.12,-0.812,0.735,,-0.751,0.2205,0.564001,0.04862025,-3.536068504
B0024.14c,0.832,0.817,0.424,0.575,0.986,,0.832,0.7005,0.692224,0.49070025,-0.496396955
B0024.14d,-0.042,0.079,0.879,1.113,0.174,,-0.042,0.56125,0.001764,0.315001563,7.480364614
B0024.15,0.072,-0.941,1.98,-0.928,-0.221,,0.072,-0.0275,0.005184,0.00075625,-2.777130576
B0024.2,0.48,-0.586,0.042,-0.373,0.274,,0.48,-0.16075,0.2304,0.025840563,-3.156431337
B0024.3,-1.501,-1.419,-2.197,0.318,-0.468,,-1.501,-0.9415,2.253001,0.88642225,-1.345781954
B0024.4,0.204,-0.287,0.511,0.044,0.211,,0.204,0.11975,0.041616,0.014340063,-1.537086992
B0024.6,0.878,1.294,1.404,-0.75,-0.128,,0.878,0.455,0.770884,0.207025,-1.896708789
B0024.8,-0.565,-0.045,-0.707,-0.012,-1.87,,-0.565,-0.6585,0.319225,0.43362225,0.441865146
B0024.9,-0.473,0.068,-0.464,0.108,-0.279,,-0.473,-0.14175,0.223729,0.020093063,-3.476982897
B0025.1a,0.024,0.164,0.288,0.358,2.544,,0.024,0.8385,0.000576,0.70308225,10.25340895
B0025.1b,0.403,0.395,1.575,0.137,0.832,,0.403,0.73475,0.162409,0.539857563,1.73294723
